id,person,context,cause,cause_time,effect,effect_time
1,Donald Trump,"In November 2020, Trump rejected the election results. On Jan 6, riots broke out.",Trump rejected the election results,20-Nov,Riots broke out,06-Jan-21
2,Joe Biden,"In 2021, Biden announced a major infrastructure bill. Months later, Congress passed the bill.",Biden announced a major infrastructure bill,2021,Congress passed the bill,Months later
3,Donald Trump,After disputing 2020 election results,Claimed widespread voter fraud,05-Nov-20,Supporters stormed Capitol building,06-Jan-21
4,Donald Trump,During US-China trade war,Imposed 25% tariffs on Chinese goods,22-Mar-18,US trade deficit reduced by 15%,2019 Q2
5,Joe Biden,Signing infrastructure bill,$1.2 trillion infrastructure investment,15-Nov-21,Created 300k construction jobs,2023 Report
6,Joe Biden,Climate change executive order,Banned new oil drilling leases,27-Jan-21,Renewable energy stocks rose 40%,3 months later
7,Elon Musk,Twitter acquisition announcement,Changed content moderation policies,27-Oct-22,Major advertisers withdrew campaigns,Nov-22
8,Elon Musk,Tesla investor day 2023,Revealed $5B battery plant plan,01-Mar-23,Tesla stock rose 12%,Next trading day
9,Greta Thunberg,UN Climate Action Summit speech,"""How dare you?"" emotional appeal",23-Sep-19,Global climate protests doubled,Oct-19
10,Vladimir Putin,2022 Ukraine invasion,Military mobilization order,24-Feb-22,Global oil prices surged 30%,Mar-22
11,Mark Zuckerberg,Meta rebranding announcement,Pivot to metaverse development,28-Oct-21,Company lost $200B market value,6 months later
12,Kim Jong Un,Missile test over Japan,Ballistic missile launch,04-Oct-22,UN imposed new sanctions,15-Oct-22
13,Donald Trump,After disputing 2020 election results,Claimed widespread voter fraud,05-Nov-20,Supporters stormed Capitol building,06-Jan-21
14,Donald Trump,During US-China trade war,Imposed 25% tariffs on Chinese goods,22-Mar-18,US trade deficit reduced by 15%,2019 Q2
15,Joe Biden,Signing infrastructure bill,$1.2 trillion infrastructure investment,15-Nov-21,Created 300k construction jobs,2023 Report
16,Joe Biden,Climate change executive order,Banned new oil drilling leases,27-Jan-21,Renewable energy stocks rose 40%,3 months later
17,Elon Musk,Twitter acquisition announcement,Changed content moderation policies,27-Oct-22,Major advertisers withdrew campaigns,22-Nov
